16:03:53.337 INFO  manager.ApplicationManager - All tests run in Chrome Browser
16:03:54.100 INFO  manager.ApplicationManager - The link ---->https://telranedu.web.app/home
16:03:54.177 INFO  tests.TestBase - Name of method -->loginSuccess
16:03:54.180 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Sign Out']
16:03:59.207 INFO  manager.ApplicationManager - element found success:By.xpath: //button[text()='Sign Out']
16:03:59.210 INFO  tests.TestBase - Start test with name 'loginSuccess'
16:03:59.211 INFO  tests.TestBase - Test data --->: email: mara@gmail.com & password: Mmar123456$
16:03:59.215 INFO  manager.ApplicationManager - Before find element:By.cssSelector: a[href='/login']
16:03:59.260 INFO  manager.ApplicationManager - element found success:By.cssSelector: a[href='/login']
16:03:59.275 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (8a923d183941f786dc00ec69be338e40)] -> css selector: a[href='/login']]
16:03:59.391 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (8a923d183941f786dc00ec69be338e40)] -> css selector: a[href='/login']]
16:03:59.393 INFO  manager.ApplicationManager - Before find element:By.name: email
16:03:59.434 INFO  manager.ApplicationManager - element found success:By.name: email
16:03:59.434 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (8a923d183941f786dc00ec69be338e40)] -> name: email]
16:03:59.542 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (8a923d183941f786dc00ec69be338e40)] -> name: email]
16:03:59.908 INFO  manager.ApplicationManager - Before find element:By.xpath: //input[last()]
16:03:59.935 INFO  manager.ApplicationManager - element found success:By.xpath: //input[last()]
16:03:59.935 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (8a923d183941f786dc00ec69be338e40)] -> xpath: //input[last()]]
16:03:59.993 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (8a923d183941f786dc00ec69be338e40)] -> xpath: //input[last()]]
16:04:00.186 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Login']
16:04:00.215 INFO  manager.ApplicationManager - element found success:By.xpath: //button[text()='Login']
16:04:00.215 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (8a923d183941f786dc00ec69be338e40)] -> xpath: //button[text()='Login']]
16:04:00.258 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (8a923d183941f786dc00ec69be338e40)] -> xpath: //button[text()='Login']]
16:04:00.259 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Sign Out']
16:04:01.302 INFO  manager.ApplicationManager - element found success:By.xpath: //button[text()='Sign Out']
16:04:01.304 INFO  tests.TestBase - Assert check is Element button 'Sign out' present
16:04:01.307 INFO  tests.TestBase - ********************************************************************
16:04:01.308 INFO  tests.TestBase - Name of method -->loginSuccess
16:04:01.309 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Sign Out']
16:04:01.340 INFO  manager.ApplicationManager - element found success:By.xpath: //button[text()='Sign Out']
16:04:01.341 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Sign Out']
