15:38:52.484 INFO  manager.ApplicationManager - All tests run in Chrome Browser
15:38:53.293 INFO  manager.ApplicationManager - The link ---->https://telranedu.web.app/home
15:38:53.357 INFO  tests.TestBase - Name of method -->loginSuccess
15:38:53.361 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Sign Out']
15:38:58.431 INFO  manager.ApplicationManager - element found success:By.xpath: //button[text()='Sign Out']
15:38:58.434 INFO  tests.TestBase - Start test with name 'loginSuccess'
15:38:58.435 INFO  tests.TestBase - Test data --->: email: 'mara@gmail.com' & password: 'Mmar123456$'
15:38:58.436 INFO  manager.ApplicationManager - Before find element:By.cssSelector: a[href='/login']
15:38:58.467 INFO  manager.ApplicationManager - element found success:By.cssSelector: a[href='/login']
15:38:58.475 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (778005f1656747e7901eb7a4477ac73a)] -> css selector: a[href='/login']]
15:38:58.584 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (778005f1656747e7901eb7a4477ac73a)] -> css selector: a[href='/login']]
15:38:58.585 INFO  manager.ApplicationManager - Before find element:By.name: email
15:38:58.609 INFO  manager.ApplicationManager - element found success:By.name: email
15:38:58.609 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (778005f1656747e7901eb7a4477ac73a)] -> name: email]
15:38:58.669 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (778005f1656747e7901eb7a4477ac73a)] -> name: email]
15:38:58.804 INFO  manager.ApplicationManager - Before find element:By.xpath: //input[last()]
15:38:58.820 INFO  manager.ApplicationManager - element found success:By.xpath: //input[last()]
15:38:58.821 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (778005f1656747e7901eb7a4477ac73a)] -> xpath: //input[last()]]
15:38:58.856 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (778005f1656747e7901eb7a4477ac73a)] -> xpath: //input[last()]]
15:38:59.020 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Login']
15:38:59.038 INFO  manager.ApplicationManager - element found success:By.xpath: //button[text()='Login']
15:38:59.039 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (778005f1656747e7901eb7a4477ac73a)] -> xpath: //button[text()='Login']]
15:38:59.085 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (778005f1656747e7901eb7a4477ac73a)] -> xpath: //button[text()='Login']]
15:38:59.085 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Sign Out']
