17:46:38.985 INFO  manager.ApplicationManager - All tests run in Chrome Browser
17:46:39.680 INFO  manager.ApplicationManager - The link ---->https://telranedu.web.app/home
17:46:39.704 INFO  tests.TestBase - Name of method -->loginSuccess
17:46:39.705 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Sign Out']
17:46:44.749 INFO  manager.ApplicationManager - element found success:By.xpath: //button[text()='Sign Out']
17:46:44.751 INFO  tests.TestBase - Start test with name 'loginSuccess'
17:46:44.751 INFO  tests.TestBase - Test data --->: email: mara@gmail.com & password: Mmar123456$
17:46:44.754 INFO  manager.ApplicationManager - Before find element:By.cssSelector: a[href='/login']
17:46:44.784 INFO  manager.ApplicationManager - element found success:By.cssSelector: a[href='/login']
17:46:44.791 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (1a6c58e09410275b552bbcc905b4b53b)] -> css selector: a[href='/login']]
17:46:44.885 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (1a6c58e09410275b552bbcc905b4b53b)] -> css selector: a[href='/login']]
17:46:44.886 INFO  manager.ApplicationManager - Before find element:By.name: email
17:46:44.912 INFO  manager.ApplicationManager - element found success:By.name: email
17:46:44.913 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (1a6c58e09410275b552bbcc905b4b53b)] -> name: email]
17:46:44.950 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (1a6c58e09410275b552bbcc905b4b53b)] -> name: email]
17:46:45.081 INFO  manager.ApplicationManager - Before find element:By.xpath: //input[last()]
17:46:45.095 INFO  manager.ApplicationManager - element found success:By.xpath: //input[last()]
17:46:45.096 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (1a6c58e09410275b552bbcc905b4b53b)] -> xpath: //input[last()]]
17:46:45.135 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (1a6c58e09410275b552bbcc905b4b53b)] -> xpath: //input[last()]]
17:46:45.302 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Login']
17:46:45.316 INFO  manager.ApplicationManager - element found success:By.xpath: //button[text()='Login']
17:46:45.316 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (1a6c58e09410275b552bbcc905b4b53b)] -> xpath: //button[text()='Login']]
